parameter_name,Ventral coat/hair presence
parameter_id,MGP_CSD_025_001
gene_symbol,Npbwr1
mouse_strain,C57BL
analysis_id,pbz2li709zba831
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
pvalue,0.06589924
