analysis_id,yg07p945v3mk187
parameter_name,End-Systolic Diameter
mouse_life_stage,Middle aged adult
pvalue,0.8674928
gene_symbol,Slc30a4
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,IMPC_ECH_001_001
