gene_symbol,Usp37
pvalue,0.8570995
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:2442483
parameter_name,Skull shape
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,45rj9pjmucjoho1
