analysis_id,w66z970128v2o7o
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
gene_symbol,Lime1
parameter_name,Number of rears - total
parameter_id,IMPC_OFD_021_001
pvalue,0.4995017
