analysis_id,l7390x59u6j9isn
pvalue,0.2346864
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Late adult
parameter_name,PP3 + pulse startle magnitude
gene_accession_id,MGI:2446274
parameter_id,ESLIM_011_001_009
