parameter_name,End-Diastolic Diameter
gene_symbol,Rab22a
parameter_id,IMPC_ECH_002_001
gene_accession_id,MGI:105072
analysis_id,el5s4j786d47k68
mouse_strain,C57BL
pvalue,0.2939717
mouse_life_stage,Early adult
