gene_symbol,Zyg11b
pvalue,0.08043453
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
analysis_id,bg559bvw3s0ta14
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
mouse_strain,C57BL
