analysis_id,s7olr329o77k9sl
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_004_001
pvalue,0.8360733
parameter_name,NKT cells (panel A)
gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
