analysis_id,4t3n3j94e4jqa1k
mouse_life_stage,Early adult
pvalue,0.2264131
mouse_strain,C57BL
parameter_id,IMPC_OFD_020_001
parameter_name,Distance travelled - total
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
