analysis_id,t1l43hg6jd0si1k
pvalue,0.7292123
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
