analysis_id,7510o4c4e3qe9gc
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
gene_symbol,Morn5
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7260945
