gene_symbol,Car13
mouse_strain,C57BL
analysis_id,544339vp6jm9820
pvalue,0.6929644
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
parameter_name,Basophil differential count
gene_accession_id,MGI:1931322
