parameter_id,IMPC_HEM_031_001
mouse_life_stage,E15.5
analysis_id,9z8sw6y1fd7ox6u
parameter_name,Lymphocyte differential count
mouse_strain,C57BL
pvalue,0.3049219
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
