analysis_id,lzi3wz07kc4a8v8
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
pvalue,0.6131023
parameter_name,Neutrophil cell count
mouse_strain,C57BL
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
