gene_symbol,Lurap1
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:1915325
analysis_id,f1932m64x314n5g
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Body weight
pvalue,0.5809193
