analysis_id,i722f85xz5wwzcm
parameter_name,Placenta Size
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
pvalue,0.2781728
parameter_id,IMPC_GPP_004_001
