parameter_name,Eosinophils
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Steap3
gene_accession_id,MGI:1915678
parameter_id,IMPC_IMM_052_001
pvalue,0.8130425
analysis_id,3h64kn0on1fkt0x
