analysis_id,1y0599k5b58w8cg
pvalue,0.8095962
gene_symbol,Slc45a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_037_001
gene_accession_id,MGI:1922082
parameter_name,% Pre-pulse inhibition - Global
