analysis_id,7m43476g17y5lcy
mouse_life_stage,Early adult
gene_symbol,Tiprl
parameter_id,IMPC_CBC_008_001
pvalue,0.8867669
parameter_name,Total bilirubin
gene_accession_id,MGI:1915087
mouse_strain,C57BL
