analysis_id,dlxz0021xe1or7x
pvalue,0.4912923
gene_accession_id,MGI:103302
parameter_name,Periphery - Permanence Time
gene_symbol,Bmp7
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
