analysis_id,h2762xx3cklwb52
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
pvalue,0.7936438
parameter_name,Startle response
