analysis_id,549z24a33ka5532
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,MGP_PBI_035_001
pvalue,0.979046
gene_accession_id,MGI:97838
parameter_name,IgD+ mature B cell number
mouse_life_stage,E9.5
