analysis_id,522d413vg4fr685
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
pvalue,0.6799392
gene_symbol,Lamb3
parameter_id,IMPC_ECH_001_001
