parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
analysis_id,w7l261rf512xr7i
mouse_strain,C57BL
parameter_id,IMPC_IMM_034_001
pvalue,0.3082524
gene_symbol,Mms22l
