parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:1917810
pvalue,0.3146391
mouse_strain,C57BL
gene_symbol,Wars2
analysis_id,5sny11k8n18u3hd
mouse_life_stage,E12.5
