parameter_name,Ventral coat/hair presence
analysis_id,725jr23my7qu874
pvalue,0.4426313
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_id,MGP_CSD_025_001
gene_symbol,Cmpk1
