analysis_id,b4c44v835b3uy9g
gene_accession_id,MGI:1920638
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
pvalue,0.07796039
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,129SV
