gene_symbol,Arpc5l
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,b53t85r7527my3f
pvalue,0.1714182
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
gene_accession_id,MGI:1921442
