analysis_id,lse7pf8186gzm8x
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.5009433
gene_symbol,Cldn19
parameter_id,IMPC_OFD_020_001
