parameter_name,ST
gene_accession_id,MGI:2446186
analysis_id,r092mn5i8uj96sn
pvalue,0.4601469
parameter_id,IMPC_ECG_008_001
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Lpgat1
