parameter_id,GMC_906_001_005
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,Potassium
gene_symbol,Ola1
pvalue,0.6729245
mouse_life_stage,Early adult
analysis_id,4g099e979w8lt3l
