parameter_name,RR
analysis_id,3ul057j58xj021u
gene_accession_id,MGI:2446186
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
gene_symbol,Lpgat1
pvalue,0.2951283
mouse_strain,C57BL
