parameter_name,HRV
analysis_id,3y21c1t8rk5e34w
mouse_strain,C57BL
gene_accession_id,MGI:1931322
parameter_id,IMPC_ECG_010_001
pvalue,0.7289846
gene_symbol,Car13
mouse_life_stage,Early adult
