gene_symbol,Cldn19
pvalue,0.2699179
gene_accession_id,MGI:3033992
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
analysis_id,51t52so5mo8cpz4
parameter_name,Body Weight
mouse_strain,C57BL
