analysis_id,7r7lfdq00z5dyt7
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
parameter_name,PP3 + pulse startle magnitude
gene_symbol,Secisbp2l
pvalue,0.8439542
mouse_strain,C57BL
