mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_ECG_006_001
pvalue,0.4928367
mouse_life_stage,E9.5
analysis_id,y3264053635280x
parameter_name,PR
