gene_symbol,Dnajc8
mouse_strain,C57BL
analysis_id,74p4v24dszu846l
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
pvalue,0.4109931
