parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.4468675
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,w4q9l1g8r60rncs
parameter_id,IMPC_IMM_047_001
gene_symbol,Steap3
mouse_strain,C57BL
