gene_symbol,Tnni1
analysis_id,1895346ed6sn5v1
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.1355212
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
