gene_symbol,Mms22l
parameter_name,Mean corpuscular hemoglobin
mouse_strain,129SV
pvalue,0.6231984
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
analysis_id,bc769070sm8q3n2
parameter_id,IMPC_HEM_006_001
