gene_symbol,Steap3
parameter_id,CCP_LFO_001_001
pvalue,0.827072
analysis_id,v5vp907c8b0d3g6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915678
parameter_name,Weight
