gene_symbol,Snrpb2
pvalue,0.5135317
analysis_id,t54go58preqy566
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104805
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
