parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
pvalue,0.7799685
parameter_name,Tibia length
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
analysis_id,b2wz6xf37r0z7o3
