analysis_id,f7j7m040gmnie76
parameter_id,IMPC_GEO_011_001
pvalue,0.1139202
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab13
gene_accession_id,MGI:1927232
parameter_name,Blood Vessel Morphology
