parameter_name,Periphery permanence time
pvalue,0.9094857
analysis_id,6v7u99um38gjkk9
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
