analysis_id,4qko494kn398754
mouse_life_stage,Early adult
pvalue,0.620713
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
mouse_strain,C57BL
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
