parameter_name,Snout size
gene_accession_id,MGI:1913483
mouse_strain,C57BL
analysis_id,61s6c5003q40p58
parameter_id,IMPC_CSD_028_001
mouse_life_stage,E12.5
pvalue,0.6995331
gene_symbol,Dmap1
