analysis_id,bsjc1jmj961i4eu
mouse_life_stage,E9.5
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:95835
mouse_strain,C57BL
pvalue,0.2740918
parameter_id,IMPC_IPG_010_001
gene_symbol,Hspa5
