analysis_id,43r7j6978y1q6lg
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bpifa3
pvalue,0.9857425
parameter_id,IMPC_CSD_047_001
