parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,Tubb4b
analysis_id,97z00v28i62t75j
parameter_name,Total food intake
gene_accession_id,MGI:1915472
pvalue,0.1797014
mouse_life_stage,Early adult
