gene_symbol,Kcng1
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,tm33966y14o4552
pvalue,0.5446305
mouse_strain,C57BL
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
