parameter_name,Platelet count
mouse_strain,C57BL
analysis_id,iw08794go8oieou
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:1915524
pvalue,0.1510032
gene_symbol,Toporsl
mouse_life_stage,Early adult
