gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,9133g9157irqg9t
pvalue,0.8615601
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
