analysis_id,15w0a78o53ya298
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
gene_symbol,Cisd2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_name,Fasted blood glucose concentration
pvalue,0.415734
