gene_symbol,Lcn2
mouse_strain,C57BL
pvalue,0.9301737
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:96757
analysis_id,z3fvy7e11jp7x89
mouse_life_stage,Early adult
