parameter_name,Stroke Volume
gene_accession_id,MGI:891989
parameter_id,IMPC_ECH_003_001
analysis_id,w23zm6dzm3cfb69
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.9830879
