parameter_id,JAXLA_CSD_021_001
mouse_life_stage,Early adult
parameter_name,Hindlimbs - shape
analysis_id,yh58q3tyyn24yvo
mouse_strain,C57BL
pvalue,0.3219359
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
