analysis_id,h2bbybxco3u15re
pvalue,0.2970073
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
mouse_strain,C57BL
mouse_life_stage,Late adult
