analysis_id,p761kg3or1uz9j4
mouse_strain,C57BL
pvalue,0.9724523
parameter_id,ESLIM_007_001_009
gene_accession_id,MGI:2135738
gene_symbol,Abo
parameter_name,Periphery average speed
mouse_life_stage,Early adult
