analysis_id,2q1tj67j7hel17m
gene_accession_id,MGI:1921442
mouse_strain,C57BL
pvalue,0.6343807
parameter_name,Heart weight
gene_symbol,Arpc5l
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
