mouse_life_stage,Early adult
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_strain,C57BL
analysis_id,752yj43201nn97n
parameter_name,Shape of vertebrae
pvalue,0.9151717
parameter_id,IMPC_XRY_018_001
