parameter_name,Number of centre entries
gene_symbol,Trdmt1
mouse_strain,C57BL
analysis_id,qbvl44nf3528x82
pvalue,0.2416638
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1274787
