gene_symbol,Bcs1l
parameter_id,MGP_MLN_006_001
pvalue,0.9786626
mouse_life_stage,E12.5
analysis_id,2kdl5v7y0f9b8ra
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1914071
