gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:99915
parameter_name,Body Weight
pvalue,0.8267235
mouse_strain,C57BL
analysis_id,5eb1251pml61sr0
